Depth(mg/cm2)	Dose(MeV-cm2/g)
0.0000E+00	4.7763E+00
1.5116E+00	6.4105E+00
2.8141E+00	7.8158E+00
4.3819E+00	1.0011E+01
5.9899E+00	1.0895E+01
7.5176E+00	1.0263E+01
8.7477E+00	8.7789E+00
1.0412E+01	5.6053E+00
1.1819E+01	3.0158E+00
1.3186E+01	1.6184E+00
1.4673E+01	8.5263E-01
1.6145E+01	3.7895E-01
