Depth(mg/cm2)	Dose(MeV-cm2/g)
1.0929E-01	1.9390E+00
2.4481E-01	2.3095E+00
3.7596E-01	2.5530E+00
4.6776E-01	2.7167E+00
5.9016E-01	2.7555E+00
7.2568E-01	2.5551E+00
8.6557E-01	2.3052E+00
9.9410E-01	1.9131E+00
1.1366E+00	1.3659E+00
1.2302E+00	1.0535E+00
1.3508E+00	7.4327E-01
1.5056E+00	2.8007E-01
1.6105E+00	1.0772E-01
1.7154E+00	2.1544E-02
1.8282E+00	0.0000E+00
