Depth(mg/cm2)	Dose(MeV-cm2/g)
0.0000E+00	1.6115E+00
1.5301E-01	1.9713E+00
3.2350E-01	2.3612E+00
4.8699E-01	2.7253E+00
6.6011E-01	2.7361E+00
8.1311E-01	2.4646E+00
9.8098E-01	2.0488E+00
1.1497E+00	1.4908E+00
1.3080E+00	8.1867E-01
1.4645E+00	3.4039E-01
1.6350E+00	6.8941E-02
1.7932E+00	0.0000E+00
1.9620E+00	0.0000E+00
