Range (g/cm2)	Dose (MeV-cm2/g)	% Error
0.0026	1.63	1.4
0.0094	1.87	1.4
0.0180	2.01	1.4
0.0255	2.12	1.4
0.0336	2.28	1.4
0.0402	2.37	1.4
0.0476	2.45	1.4
0.0562	2.64	1.4
0.0654	2.73	1.4
0.0723	2.90	1.4
0.0808	2.98	1.4
0.0990	3.17	1.4
0.1110	3.22	1.4
0.1257	3.28	1.4
0.1440	3.28	1.4
0.1593	3.25	1.4
0.1821	3.11	1.4
0.2122	2.87	1.4
0.2225	2.76	1.4
0.2452	2.52	1.4
0.2521	2.43	1.4
0.2908	1.93	1.4
0.3141	1.63	1.4
0.3533	1.09	1.4
0.4188	0.42	1.4
0.4814	0.08	1.4
