Detph(g/cm2) Deposition(electrons-cm2/g)
0.17	-.092
0.30	-.0462
0.43	-.0307
0.71	-.0153
1.25	.0031
1.81	.0218
2.36	.0423
2.87	.0687
3.41	.0987
3.95	.136
4.51	.177
5.06	.214
5.53	.240
6.07	.254
6.61	.243
7.17	.200
7.45	.170
7.72	.137
7.99	.105
8.23	.0757
8.49	.0466
8.77	.0257
9.04	.0122
9.31	.0048
9.58	.0014
9.87	.0006
